,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD
0,916,opisProjektuEfekt,Efekt projektu 1.,06/07/04,1,Paweł 1,asddvv,2
1,1055,opisProjektuEfekt,"<meta http-equiv=""CONTENT-TYPE"" content=""text/html; charset=utf-8"" />
<title></title>
<meta name=""GENERATOR"" content=""OpenOffice.org 1.1.0  (Linux)"" />
<meta name=""AUTHOR"" content=""LSK"" />
<meta name=""CREATED"" content=""20060707;13290000"" />
<meta name=""CHANGEDBY"" content=""Pietraszek"" />
<meta name=""CHANGED"" content=""20060707;13290000"" />
<meta name=""CLASSIFICATION"" content=""Birthday "" />
<meta name=""DESCRIPTION"" content=""Shankar’s Birthday falls on 25th July.  Don’t Forget to wish him"" />
<meta name=""KEYWORDS"" content=""Birthday"" /><style type=""text/css"">
	<!--
		@page { margin: 2cm }
		P { margin-bottom: 0.21cm }
		P.western { font-family: ""Luxi Serif"", serif; so-language: pl-PL }
	-->
	</style>
<p class=""western"" style=""margin-bottom: 0cm; font-family: arial;""><font size=""3""><font color=""#000000"">W ramach realizacji pracy</font><em><font color=""#000000""> </font></em><font color=""#000000"">oczekuje się efektów w postaci:</font></font></p>
<ul style=""font-family: arial;"">
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">modeli 	lotniczych środków bojowych stanowiących uzbrojenie 	śmigłowca;</font></p>
    </li>
    <li>
    <p style=""margin-bottom: 0cm; line-height: 100%;""><font color=""#000000"" size=""3"">funkcjonalnego 	modelu algorytmu celowniczego.</font></p>
    </li>
</ul>
Ponadto oczekiwane są efekty wymierne w postaci: <br />
<ul style=""font-family: arial;"">
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">informatycznego modelu 	(program komputerowy) celowniczego wykorzystanego w systemie sterowania 	uzbrojeniem modernizowanego śmigłowca;</font></p>
    </li>
    <li>
    <p class=""western"" align=""left"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">publikacji naukowych;</font></p>
    </li>
    <li>
    <p class=""western"" align=""left"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">uczestnictwa w 	konferencjach krajowych i międzynarodowych;</font></p>
    </li>
    <li>
    <p class=""western"" style=""margin-bottom: 0cm; line-height: 100%;""> 	<font color=""#000000"" size=""3"">pracy doktorskiej 	wykonawcy projektu.</font></p>
    </li>
</ul>
<p class=""western"" align=""left"" style=""margin-bottom: 0cm; line-height: 100%;""> <br /> </p>",06/07/25,1,Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca,"lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183
2,1076,opisProjektuEfekt,"<p class=""MsoBodyTextIndent2"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-INDENT: 0cm; TEXT-ALIGN: justify""><strong style=""mso-bidi-font-weight: normal""><span style=""FONT-FAMILY: Arial; mso-bidi-font-family: ’Times New Roman’""><font size=""3"">Odbiorcami wynik&oacute;w prac jest wiele firm i przedsiębiorstw z branż: rolniczych, przetw&oacute;rstwa rolniczego, paliwowych jak i produkcyjnych oraz użytkownicy lotnictwa.<o:p></o:p></font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify""><strong style=""mso-bidi-font-weight: normal""><span style=""FONT-SIZE: 11pt; FONT-FAMILY: Arial; mso-bidi-font-family: ’Times New Roman’; mso-bidi-font-size: 12.0pt""><font size=""3"">W pierwszej kolejności zainteresowanie już wyrazili producenci spirytusu odwodnionego, gorzelnie oraz rafinerie paliw jako dostawcy komponent&oacute;w i paliw do tworzenia mieszanin etanolowych. Jako odbiorcy paliw zainteresowanie swe wyraziło wojsko i aerokluby gł&oacute;wnie w celach obniżenia koszt&oacute;w. Instytut Lotnictwa nawiązał kontakt z właścicielem praw do silnik&oacute;w Franklin, kt&oacute;ry zainteresowany jest przystosowaniem swoich silnik&oacute;w do zasilania etanolem. Jest got&oacute;w wsp&oacute;łpracować w ramach projektu celowego nad modernizacją rodziny silnik&oacute;w Franklin. Także Instytut Lotnictwa posiadając samolot &bdquo;Manager&rdquo; i śmiglowiec IS-2 jest zainteresowany przedstawieniem alternatywnej oferty na swoje konstrukcje z silnikiem zasilanym bioetanolem. Rynek brazylijski od wielu lat stosujący mieszanki spirytusowe do zasilania silnik&oacute;w trakcyjnych jest zainteresowany rozszerzeniem zastosowań tych paliw na transport powietrzny. Na rynku tym brak jest tak nowoczesnych konstrukcji jak IS-2 i Manager &ndash; nie wolno nam zapominać o gwałtownie rozwijającym się rynku i ambicjach Brazylii, kt&oacute;ra ma b. dobre kontakty z Polską (przykładem może być zakup samolotu Embraer).<o:p></o:p></font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify; tab-stops: list 7.1pt""><strong style=""mso-bidi-font-weight: normal""><span style=""FONT-SIZE: 11pt; FONT-FAMILY: Arial; mso-bidi-font-family: ’Times New Roman’; mso-bidi-font-size: 12.0pt""><font size=""3"">Przewidywany jest udział w konferencjach krajowych oraz reklama medialna.</font></span></strong></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify; tab-stops: list 7.1pt""><strong style=""mso-bidi-font-weight: normal""><span style=""FONT-SIZE: 11pt; FONT-FAMILY: Arial; mso-bidi-font-family: ’Times New Roman’; mso-bidi-font-size: 12.0pt; mso-fareast-font-family: ’Times New Roman’; mso-fareast-language: EN-US; mso-ansi-language: PL; mso-bidi-language: AR-SA""><font size=""3"">Planujemy wsp&oacute;lnie z Aeroklubem Polskim w 75 rocznicę lotu Skarżyńskiego do Brazylii powt&oacute;rzyć ten przelot na samolocie I-23 &bdquo;Manager&rdquo; zasilanym biopaliwem etanolowym (oczywiście w miarę możliwości i znalezienia sponsor&oacute;w w kraju i za granica), jednocześnie bijąc rekord długość lotu Maxa Shaucka przez Atlantyk na samolocie &bdquo;Velocity&rdquo;.</font></span></strong></p>",06/07/20,1,Eksperymentalna ocena paliw z bioetanolem do tłokowych silników lotniczych,"biopaliwo, paliwo lotnicze, emisja, cząstki stałe, ekologia, tłokowy silnik lotniczy ",173
3,1155,opisProjektuEfekt,"<div>Gł&oacute;wnym planowanym efektem wymiernym proponowanego projektu badawczego było by opracowanie kompendium, kt&oacute;re w przystępny spos&oacute;b prezentowało by niespecjalistom z zakresu kryptografii kwantowej wykorzystanie technik kwantowych do bezpiecznego przesyłu i przetwarzania informacji. Poza tym planujemy oczywiście publikacje naukowe dotyczące uzyskanych wynik&oacute;w i upowszechnianie tychże wynik&oacute;w poprzez udział w konferencjach międzynarodowych.</div>",06/07/24,1,Kwantowo-mechaniczne systemy bezpiecznego przepływu informacji,"kryptografia kwantowa, kwantowa korekcja błędów",173
4,1235,opisProjektuEfekt,"<p class=""MsoBodyText"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-INDENT: 18pt; TEXT-ALIGN: justify""><strong><span style=""FONT-FAMILY: &quot;Times New Roman&quot;""><font size=""3"">Zwarte opracowania, zawierające sprawozdania z badań, wraz z wnioskami <br />i załącznikami formatu A-4.<span style=""mso-spacerun: yes"">&nbsp; </span>Upowszechnienie wynik&oacute;w nastąpi podczas konferencji naukowych organizowanych przez Sztab Generalny WP, Dow&oacute;dztwo Wojsk Lądowych, Akademię Obrony Narodowej. Wyniki przeprowadzonych badań będą sukcesywnie publikowane w czasopismach fachowych. Na koniec badań planowane jest wydanie monografii.<o:p></o:p></font></span></strong></p>",06/07/16,1,ORGANA DECYZYJNE WOJSK LĄDOWYCH W NOWYCH UWARUNKOWANIACH WSPŁCZESNEGO ŚWIATA,"Dowództwo Wojsk Lądowych, organa dowodzenia, proces doskonalenia organizacji",173
5,1275,opisProjektuEfekt,"<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify""><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Arial"">Wymiernym efektem funkcjonowania stanowiska badawczego fałszywych kart płatniczych powinna być zwiększona liczba połączonych i skoordynowanych działań organ&oacute;w ścigania oraz wskazanie i zatrzymanie źr&oacute;deł dostarczających fałszywe karty płatnicze przestępcom. <o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify""><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Arial"">Opracowana zostanie rozszerzona metodyka badania fałszywych kart płatniczych. Efekty prac zostaną rozpowszechnione na konferencjach dotyczących przestępstw kartowych w kraju i za granicą oraz opisane w artykułach publikowanych w periodykach specjalistycznych.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""MARGIN: 0cm 0cm 0pt 18pt; TEXT-ALIGN: justify""><span style=""FONT-SIZE: 10pt; FONT-FAMILY: Arial"">Wyniki badań fałszywych kart płatniczych zostaną wykorzystane w pracy operacyjnej Policji oraz w pracy dochodzeniowo-śledczej.<o:p></o:p></span></p>",06/07/20,1,Projekt i wykonanie stanowiska badania fałszywych kart płatniczych,"carding, karta płatnicza, cyberprzestępczość, inforensics",173
6,1315,opisProjektuEfekt,"&nbsp;
<div>Wyniki projektu będą obejmować:</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>dokumentację konstrukcyjnę i modele bezpiecznych urządzeń sieciowych,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>międzynarodowe zgłoszenia patentowe wynalazk&oacute;w w zakresie konstrukcji bezpiecznych urządzeń sieciowych,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>model bezpiecznej sieci laboratoryjnej Intranet i wyniki jej badań,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>dokumentację projektową bezpiecznych sterownik&oacute;w i komputer&oacute;w,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>model bezpiecznego sterownika,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>wyniki badań bezpiecznego sterownika w systemie sterowania,</div>
<div>-<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </span>międzynarodowe zgłoszenia patentowe wynalazk&oacute;w w zakresie konstrukcji bezpiecznych sterownik&oacute;w i komputer&oacute;w.</div>
<div></div>
<div>Prace prowadzone w ramach projektu i ich wyniki będą prezentowane na konferencjach i w czasopismach. Przewiduje się też zorganizowanie seminarium promocyjnego dla potencjalnych użytkownik&oacute;w nowych urządzeń i komputer&oacute;w.</div>
<div>Przypuszczalnie bezpieczne urządzenia sieciowe w wersji modelowej lub ewentualnie prototypowej będą w pierwszej kolejności użyte dla budowy eksperymentalnej sieci Intranet w instytucji wymagającej wysokiego bezpieczeństwa i/lub sieci Intranet dla cel&oacute;w sterowania. </div>",06/07/31,1,Bezpieczne sieci typu Internet/Intranet oraz bezpieczne komputery i sterowniki do pracy w sieciach tego typu.,"Internet, Intranet, bezpieczeństwo, sieci komputerowe, komputery",173
7,1335,opisProjektuEfekt,"&nbsp;
<div><strong>Wynikiem projektu będzie autonomiczny system nawigacji i sterowania oparty na INS w wersjach dla bomb lotniczych i pojazd&oacute;w lądowych, </strong>a w szczeg&oacute;lności:</div>
<ul type=""disc"">
    <li>Opracowany system samonaprowadzania opartego na INS dla bomb lotniczych oraz zintegrowany z nim układ wykonawczy oparty na zestawie impulsowych rakietowych silnik&oacute;w korekcyjnych uniwersalny dla bomb r&oacute;żnych wagomiar&oacute;w.</li>
    <li>Wyniki badań symulacyjnych systemu samonaprowadzania bomb lotniczych.</li>
    <li>Opracowany i zaaplikowany system autonomicznego sterowania opartego na INS dla pojazdu elektrycznego Melex.</li>
    <li>Wyniki badań laboratoryjnych i terenowych powyższego układu wraz z opracowaniem algorytm&oacute;w i praw sterowania oraz ich weryfikacja.</li>
    <li>Wymagania sprzętowe stawiane obu powyższym systemom.</li>
</ul>
<div>Wyniki projektu będą rozpropagowane w postaci referat&oacute;w na konferencjach naukowych, publikacji, a także zostaną wykorzystane jako elementy rozprawy habilitacyjnej kierownika projektu.</div>",06/07/21,1,Autonomiczny system sterowania bomb lotniczych,"sterowanie autonomiczne, układy nawigacyjne",183
8,1415,opisProjektuEfekt,"<p>Na projekt składa się kilka powiązanych ze sobą obszarów tematycznych: <br />1. Zagrożenia kleptograficzne i metody przeciwdziałania im, <br />2. Problem zachowania anonimowości w elektronicznym obrocie informacji, <br />3. Ochrona danych i uwierzytelnianie w protokołach sieciowych, <br />4. Teoretyczne aspekty kryptografii i kryptoanalizy. <br /><br />Wymierne, udokumentowane efekty podjętych problemów przedstawiamy odrębnie dla poszczególnych tematów poniżej. <br /><br /><br /><br /></p>
<div style=""text-align: justify;"">1. Uzyskane wyniki zamierzamy przedstawić w formie opracowań, publikacji oraz referatów na konferencjach naukowych o charakterze międzynarodowym z zakresu kryptografii i bezpieczeństwa komputerowego. Celem jest przedstawienie algorytmów i procedur postępowania mających za zadanie utrudnienie lub eliminację ataków kleptograficznych. Największy nacisk położony zostanie na zaproponowanie rozwiązań dla protokołów wykorzystywanych w elektronicznych przetargach, e-wyborach, czy innych schematach stosowanych na przykład w e-bankowości. <br /></div>
<p><br /><br /></p>
<div style=""text-align: justify;"">2. Dokumentacją prac nad problemami będą raporty, prezentacje i publikacje na międzynarodowych konferencjach. Jako pomocnicze metody upowszechniania uzyskiwanych wyników można także uznać przygotowanie testowych implementacji projektowanych systemów. <br /></div>
<p><br /></p>
<div style=""text-align: justify;"">3. Jednym z efektów przeprowadzonych badań będzie przedstawienie nowych mechanizmów autoryzacji możliwych do stosowania w protokołach komunikacyjnych uwzględniających “czynnik ludzki” oraz fakt, że jednostki obliczeniowe uczestniczące w protokole mogą wykonywać wrogi kod. Planowana jest publikacja uzyskanych wyników w powszechnie dostępnych wydawnictwach naukowych i stworzenie możliwości ich implementacji. Zaproponowane w efekcie badań w tym temacie metody zarządzania kluczami symetrycznymi mogą stać się podstawą dla systemów dostępu do informacji oraz autoryzacji czasowego dostępu do określonych serwisów. Metody te mogą w szczególności być stosowane dla podniesienia bezpieczeństwa procedur w kontaktach obywatel-administracja państwowa. </div>
<p>&nbsp;</p>
<p><br /></p>
<div style=""text-align: justify;"">4. Uzyskane wyniki teoretyczne z zakresu struktur losowych i algebraicznych oraz kryptografii kwantowej zamierzamy przedstawić w formie opracowań, publikacji w renomowanych czasopismach oraz referatów na konferencjach naukowych o charakterze międzynarodowym. Pozostałe uzyskane wyniki wejdą w skład publikacji związanych z innymi tematami projektu. <br /><br />Uzyskane w proponowanym projekcie badawczym wyniki wejdą również w skład przygotowywanych rozpraw doktorskich i habilitacyjnych uczestników. <br /></div>",06/07/27,1,Bezpieczeństwo informacyjne e-społeczeństwa,"kryptologia, struktury losowe, kryptografia, kleptografia, anonimowość, uwierzytelnianie",173
9,1455,opisProjektuEfekt,"<br />W projekcie przewiduje się opracowania do użytku wewnętrznego, poster na Kongresie Technologii Chemicznej, a także 1 &ndash; 3 publikacji międzynarodowych. Ponadto wyniki projektu stanowić będą solidną podstawę p&oacute;źniejszego wniosku o projekt celowy, kt&oacute;rego celem będzie opracowanie baterii rezerwowej zgodnej z oczekiwaniem odbiorcy. <br />",06/07/26,1,"Określenie wzajemnej korelacji między materiałem katodowym, separatorem i elektrolitem w długopracującej rezerwowej baterii niskoprądowej Ag2O-Zn do zastosowań wojskowych.","baterie/ogniwa rezerwowe, Zn/Ag2O, separatory",173
